Source,Target,Id
2.0,1.0,1
3.0,1.0,2
3.0,2.0,3
4.0,1.0,4
4.0,2.0,5
4.0,3.0,6
5.0,1.0,7
6.0,1.0,8
7.0,1.0,9
7.0,5.0,10
7.0,6.0,11
8.0,1.0,12
8.0,2.0,13
8.0,3.0,14
8.0,4.0,15
9.0,1.0,16
9.0,3.0,17
10.0,3.0,18
11.0,1.0,19
11.0,5.0,20
11.0,6.0,21
12.0,1.0,22
13.0,1.0,23
13.0,4.0,24
14.0,1.0,25
14.0,2.0,26
14.0,3.0,27
14.0,4.0,28
17.0,6.0,29
17.0,7.0,30
18.0,1.0,31
18.0,2.0,32
20.0,1.0,33
20.0,2.0,34
22.0,1.0,35
22.0,2.0,36
26.0,24.0,37
26.0,25.0,38
28.0,3.0,39
28.0,24.0,40
28.0,25.0,41
29.0,3.0,42
30.0,24.0,43
30.0,27.0,44
31.0,2.0,45
31.0,9.0,46
32.0,1.0,47
32.0,25.0,48
32.0,26.0,49
32.0,29.0,50
33.0,3.0,51
33.0,9.0,52
33.0,15.0,53
33.0,16.0,54
33.0,19.0,55
33.0,21.0,56
33.0,23.0,57
33.0,24.0,58
33.0,30.0,59
33.0,31.0,60
33.0,32.0,61
34.0,9.0,62
34.0,10.0,63
34.0,14.0,64
34.0,15.0,65
34.0,16.0,66
34.0,19.0,67
34.0,20.0,68
34.0,21.0,69
34.0,23.0,70
34.0,24.0,71
34.0,27.0,72
34.0,28.0,73
34.0,29.0,74
34.0,30.0,75
34.0,31.0,76
34.0,32.0,77
34.0,33.0,78
